id,email,phone,full_name,role,organization,location,site_id,last_login_at,created_at,updated_at,is_active,gender
550e8400-e29b-41d4-a716-446655440046,soumitra.das@cwc.gov.in,+919876543246,Soumitra Das,field_personnel,Central Water Commission,Jalpaiguri,CWC-TLD-046,2025-10-14 05:00:00+00,2024-05-05 08:00:00+00,2025-10-14 05:00:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440047,madhuri.roy@cwc.gov.in,+919876543247,Madhuri Roy,field_personnel,Central Water Commission,Alipurduar,CWC-TOQ-047,2025-10-14 06:25:00+00,2024-05-08 10:30:00+00,2025-10-14 06:25:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440048,tarun.choudhury@cwc.gov.in,+919876543248,Tarun Choudhury,field_personnel,Central Water Commission,Silchar,CWC-BRK-048,2025-10-14 04:35:00+00,2024-05-10 07:15:00+00,2025-10-14 04:35:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440049,zainab.mir@cwc.gov.in,+919876543249,Zainab Mir,field_personnel,Central Water Commission,Baramulla,CWC-JHL-049,2025-10-14 05:40:00+00,2024-05-12 09:40:00+00,2025-10-14 05:40:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440050,aamir.khan@cwc.gov.in,+919876543250,Aamir Khan,field_personnel,Central Water Commission,Doda,CWC-CHN-050,2025-10-14 06:15:00+00,2024-05-15 08:25:00+00,2025-10-14 06:15:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440051,dr.ashok.verma@cwc.gov.in,+919876543251,Dr. Ashok Verma,supervisor,Central Water Commission,New Delhi,,2025-10-14 08:30:00+00,2023-06-01 10:00:00+00,2025-10-14 08:30:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440052,meera.joshi@cwc.gov.in,+919876543252,Meera Joshi,supervisor,Central Water Commission,Mumbai,,2025-10-14 09:15:00+00,2023-07-15 11:30:00+00,2025-10-14 09:15:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440053,prakash.iyer@cwc.gov.in,+919876543253,Prakash Iyer,supervisor,Central Water Commission,Chennai,,2025-10-14 07:45:00+00,2023-08-20 09:00:00+00,2025-10-14 07:45:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440054,anjali.nambiar@cwc.gov.in,+919876543254,Anjali Nambiar,central_analyst,Central Water Commission,New Delhi,,2025-10-14 10:00:00+00,2023-03-10 08:30:00+00,2025-10-14 10:00:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440055,rohit.malhotra@cwc.gov.in,+919876543255,Rohit Malhotra,central_analyst,Central Water Commission,New Delhi,,2025-10-14 09:30:00+00,2023-04-15 10:15:00+00,2025-10-14 09:30:00+00,TRUE,male
